sequence,stage,skill,course_id,course_name,institution,course_score,status,student_id,current_profession,dominant_intelligence,learning_style,learning_recommendation,pace,difficulty,practice_level,activity_recommendation
1,Programming,Python,python,programming for everybody (getting started with python),university of michigan,0.9492450704225353,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
2,Data,Data Integrity,everyday-excel-part-2,"everyday excel, part 2",university of colorado boulder,0.6929827856025039,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
3,Data,Data Preparation,python-data-analysis,introduction to data science in python,university of michigan,0.6762247778931951,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
4,Data,Data Mining,process-mining,process mining: data science in action,eindhoven university of technology,0.6589620652089331,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
5,Data,Data Visualization,intro-accounting-data-analytics-visual,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,0.6842206572769953,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
6,Statistics,Statistical Software,deep-neural-network,"improving deep neural networks: hyperparameter tuning, regularization and optimization",deeplearning.ai,0.77639562349708,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
7,Statistics,Regressions,data-scientists-tools,the data scientist’s toolbox,johns hopkins university,0.730757229155639,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
8,Statistics,Time Series Analysis,practical-time-series-analysis,practical time series analysis,the state university of new york,0.6277286433376894,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
9,Machine Learning,Machine Learning,machine-learning,machine learning,stanford university,0.929384784317612,Course Available,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
10,Machine Learning,Predictive Modeling,,,,0.0,Skill Gap - No Course,S1,Astronomer,Naturalist,classification and pattern-based learning,"Use examples, categorization, comparisons and pattern recognition.",Fast-paced,Advanced,High practice,"Use examples, categorization, comparisons and pattern recognition with high-practice exercises."
